topic,month,article_count,avg_tone
wind,2021-02,1525,-0.2225
wind,2021-03,1700,0.8282
wind,2021-04,1154,1.369
wind,2021-05,1499,1.252
wind,2021-06,1315,1.1331
wind,2021-07,1336,0.8924
wind,2021-08,1028,0.5919
wind,2021-09,1281,1.2762
wind,2021-10,1948,1.2936
wind,2021-11,1269,1.3294
wind,2021-12,1303,1.3687
wind,2022-01,1493,1.4261
wind,2022-02,1523,1.2227
wind,2022-03,1510,1.1321
wind,2022-04,1211,1.0809
wind,2022-05,1425,1.3713
wind,2022-06,1472,1.6441
wind,2022-07,1137,0.9099
wind,2022-08,1408,1.0255
wind,2022-09,1487,1.3185
wind,2022-10,1170,1.0104
wind,2022-11,1333,1.0112
wind,2022-12,1342,0.9973
wind,2023-01,1527,0.7123
wind,2023-02,1254,0.0537
wind,2023-03,1931,0.6906
wind,2023-04,1835,0.6363
wind,2023-05,2023,0.257
wind,2023-06,1936,0.8131
wind,2023-07,2175,0.9402
wind,2023-08,2229,0.9035
wind,2023-09,2599,0.1333
wind,2023-10,2360,0.6735
wind,2023-11,2515,0.077
wind,2023-12,1782,0.5595
wind,2024-01,1870,0.4545
wind,2024-02,1740,0.8965
wind,2024-03,2041,0.6246
wind,2024-04,1630,1.0222
wind,2024-05,2185,0.1495
wind,2024-06,1665,0.9451
wind,2024-07,1798,0.729
wind,2024-08,1298,0.8897
wind,2024-09,1747,0.6063
wind,2024-10,1490,0.827
wind,2024-11,1761,0.4024
wind,2024-12,1342,1.1245
wind,2025-01,1572,-0.4835
wind,2025-02,965,0.144
wind,2025-03,1014,0.3633
wind,2025-04,1061,0.3422
wind,2025-05,1090,-0.0671
wind,2025-06,398,0.231
wind,2025-07,1109,0.409
wind,2025-08,1695,-0.3117
wind,2025-09,1289,-0.1262
wind,2025-10,1057,0.4208
wind,2025-11,805,0.7542
wind,2025-12,1113,-0.8392
wind,2026-01,1762,-0.3522
wind,2026-02,809,-0.0323
wind,2026-03,1262,0.2326
wind,2026-04,816,0.6018
wind,2026-05,694,0.5261
wind,2026-06,924,0.5596
